layer,layer_role,x,y,visual_label,behavior,parameter,modifiers,purpose,usage_notes
1,"Navigation, function keys, programming/editing helpers",0.0,0.0,ctrl+5,Key Press,Keyboard 5 and Percent,L Ctrl,Calls,"App: Microsoft Teams, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",1.0,0.0,f9,Key Press,Keyboard F9,,Toggle breakpoint,"App: Visual Studio Code, importance=5.4"
1,"Navigation, function keys, programming/editing helpers",2.0,0.0,ctrl+shift+\,Key Press,Keyboard Backslash and Pipe,L Ctrl+L Shift,Jump to matching bracket,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",3.0,0.0,alt+f,Key Press,Keyboard F,L Alt,Settings menu,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
1,"Navigation, function keys, programming/editing helpers",4.0,0.0,ctrl+j,Key Press,Keyboard J,L Ctrl,Downloads,"App: Browser (Chrome/Edge), importance=0.95"
1,"Navigation, function keys, programming/editing helpers",5.0,0.0,win+s,Key Press,Keyboard S,L GUI,Search,"App: Windows 11, importance=10.0"
1,"Navigation, function keys, programming/editing helpers",7.0,0.0,ctrl+z,Key Press,Keyboard Z,L Ctrl,Undo,"App: Microsoft Teams, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",8.0,0.0,ctrl+h,Key Press,Keyboard H,L Ctrl,History,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
1,"Navigation, function keys, programming/editing helpers",9.0,0.0,ctrl+up,Key Press,Keyboard UpArrow,L Ctrl,Jump to top edge of data,"App: Microsoft Excel, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",10.0,0.0,tab,Key Press,Keyboard Tab,,Indent / accept suggestion,"App: Visual Studio Code, importance=9.0"
1,"Navigation, function keys, programming/editing helpers",11.0,0.0,win+p,Key Press,Keyboard P,L GUI,Project / display mode,"App: Windows 11, importance=1.0"
1,"Navigation, function keys, programming/editing helpers",12.0,0.0,alt+shift+d,Key Press,Keyboard D,L Alt+L Shift,Split pane (auto),"App: Windows Terminal / PowerShell, importance=2.4000000000000004"
1,"Navigation, function keys, programming/editing helpers",0.0,1.0,win+up,Key Press,Keyboard UpArrow,L GUI,Maximize window,"App: Windows 11, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",1.0,1.0,win+shift+left,Key Press,Keyboard LeftArrow,L GUI+L Shift,Move to left monitor,"App: Windows 11, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",2.0,1.0,win+home,Key Press,Keyboard Home,L GUI,Minimize all except active,"App: Windows 11, importance=0.2"
1,"Navigation, function keys, programming/editing helpers",3.0,1.0,ctrl+shift+f,Key Press,Keyboard F,L Ctrl+L Shift,Format text,"App: Microsoft Teams, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",4.0,1.0,enter,Key Press,Keyboard Return Enter,,Send message,"App: Microsoft Teams, importance=10.0"
1,"Navigation, function keys, programming/editing helpers",5.0,1.0,ctrl+left,Key Press,Keyboard LeftArrow,L Ctrl,Jump to left edge of data,"App: Microsoft Excel, importance=5.0"
1,"Navigation, function keys, programming/editing helpers",7.0,1.0,ctrl+shift+>,Key Press,Keyboard Period and GreaterThan,L Ctrl+L Shift,Increase font size,"App: Microsoft Word, importance=0.8999999999999999"
1,"Navigation, function keys, programming/editing helpers",8.0,1.0,win+shift+s,Key Press,Keyboard S,L GUI+L Shift,Screenshot (Snip),"App: Windows 11, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",9.0,1.0,win+a,Key Press,Keyboard A,L GUI,Quick settings / Action center,"App: Windows 11, importance=1.0"
1,"Navigation, function keys, programming/editing helpers",10.0,1.0,ctrl+shift+2,Key Press,Keyboard 2 and At,L Ctrl+L Shift,Large icons,"App: File Explorer, importance=0.09000000000000001"
1,"Navigation, function keys, programming/editing helpers",11.0,1.0,"ctrl+,",Key Press,Keyboard Comma and LessThan,L Ctrl,Open settings,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",12.0,1.0,f4,Key Press,Keyboard F4,,Toggle absolute ref ($),"App: Microsoft Excel, importance=5.0"
1,"Navigation, function keys, programming/editing helpers",0.0,2.0,ctrl+shift+j,Key Press,Keyboard J,L Ctrl+L Shift,Open Console,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
1,"Navigation, function keys, programming/editing helpers",1.0,2.0,ctrl+d,Key Press,Keyboard D,L Ctrl,Bookmark page,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
1,"Navigation, function keys, programming/editing helpers",2.0,2.0,yy,Key Press,Keyboard yy,,Copy current URL,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
1,"Navigation, function keys, programming/editing helpers",3.0,2.0,ctrl+shift+left,Key Press,Keyboard LeftArrow,L Ctrl+L Shift,Select to left edge,"App: Microsoft Excel, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",4.0,2.0,win+h,Key Press,Keyboard H,L GUI,Voice typing,"App: Windows 11, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",5.0,2.0,win+shift+right,Key Press,Keyboard RightArrow,L GUI+L Shift,Move to right monitor,"App: Windows 11, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",7.0,2.0,win+left,Key Press,Keyboard LeftArrow,L GUI,Snap window left,"App: Windows 11, importance=10.0"
1,"Navigation, function keys, programming/editing helpers",8,2,↓,Key Press,DownArrow,,Navigation key for cursor/page movement.,Sends DownArrow.
1,"Navigation, function keys, programming/editing helpers",9.0,2.0,ctrl+shift+enter,Key Press,Keyboard Return Enter,L Ctrl+L Shift,Insert line above,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",10.0,2.0,alt+down,Key Press,Keyboard DownArrow,L Alt,Move line down,"App: Visual Studio Code, importance=5.4"
1,"Navigation, function keys, programming/editing helpers",11.0,2.0,f11,Key Press,Keyboard F11,,Toggle fullscreen,"App: Browser (Chrome/Edge), importance=0.95"
1,"Navigation, function keys, programming/editing helpers",12.0,2.0,ctrl+l,Key Press,Keyboard L,L Ctrl,Focus address bar,"App: Browser (Chrome/Edge), importance=9.5"
1,"Navigation, function keys, programming/editing helpers",0.0,3.0,ctrl+o,Key Press,Keyboard O,L Ctrl,Open file,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",1.0,3.0,ctrl+shift+v,Key Press,Keyboard V,L Ctrl+L Shift,Paste without formatting,"App: Browser (Chrome/Edge), importance=5.699999999999999"
1,"Navigation, function keys, programming/editing helpers",2.0,3.0,ctrl+shift+!,Key Press,Keyboard 1 and Bang,L Ctrl+L Shift,Number format,"App: Microsoft Excel, importance=1.5"
1,"Navigation, function keys, programming/editing helpers",3.0,3.0,shift+alt+a,Key Press,Keyboard A,L Shift+L Alt,Toggle block comment,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",4.0,3.0,ctrl+shift+6,Key Press,Keyboard 6 and Caret,L Ctrl+L Shift,Toggle details pane,"App: File Explorer, importance=0.45"
1,"Navigation, function keys, programming/editing helpers",5.0,3.0,ctrl+shift+u,Key Press,Keyboard U,L Ctrl+L Shift,Mark as unread,"App: Microsoft Teams, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",7.0,3.0,f8,Key Press,Keyboard F8,,Go to next problem,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",8.0,3.0,shift+tab,Key Press,Keyboard Tab,L Shift,Outdent,"App: Visual Studio Code, importance=5.4"
1,"Navigation, function keys, programming/editing helpers",9.0,3.0,ctrl+shift+l,Key Press,Keyboard L,L Ctrl+L Shift,Toggle sidebar,"App: Microsoft Teams, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",10.0,3.0,ctrl+shift+a,Key Press,Keyboard A,L Ctrl+L Shift,Accept call,"App: Microsoft Teams, importance=6.0"
1,"Navigation, function keys, programming/editing helpers",11.0,3.0,h,Key Press,Keyboard H,,Go back in history,"App: Browser (Chrome/Edge), importance=5.699999999999999"
1,"Navigation, function keys, programming/editing helpers",12.0,3.0,x,Key Press,Keyboard x,,Close current tab,"App: Browser (Chrome/Edge), importance=5.699999999999999"
1,"Navigation, function keys, programming/editing helpers",3.0,4.0,ctrl+shift+w,Key Press,Keyboard W,L Ctrl+L Shift,Change workflow state,"App: M-Files Desktop Client, importance=5.1"
1,"Navigation, function keys, programming/editing helpers",4.0,4.0,ctrl+home,Key Press,Keyboard Home,L Ctrl,Go to cell A1,"App: Microsoft Excel, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",5.0,4.0,ctrl+k,Key Press,Keyboard K,L Ctrl,Insert link,"App: Microsoft Teams, importance=3.0"
1,"Navigation, function keys, programming/editing helpers",7.0,4.0,ctrl+s,Key Press,Keyboard S,L Ctrl,Save page as,"App: Browser (Chrome/Edge), importance=0.95"
1,"Navigation, function keys, programming/editing helpers",8.0,4.0,ctrl+shift+m,Key Press,Keyboard M,L Ctrl+L Shift,Toggle mute,"App: Microsoft Teams, importance=10.0"
1,"Navigation, function keys, programming/editing helpers",4.0,5.0,ctrl+\,Key Press,Keyboard Backslash and Pipe,L Ctrl,Split editor,"App: Visual Studio Code, importance=2.7"
1,"Navigation, function keys, programming/editing helpers",5,5,ctrl+-,Key Press,Dash and Underscore,L Ctrl,Zoom out.,Sends L Ctrl+Dash.
1,"Navigation, function keys, programming/editing helpers",7.0,5.0,ctrl+shift+right,Key Press,Keyboard RightArrow,L Ctrl+L Shift,Select to right edge,"App: Microsoft Excel, importance=3.0"
2,Mouse lock and button layer,0.0,0.0,ctrl+shift+q,Key Press,Keyboard Q,L Ctrl+L Shift,New meeting,"App: Microsoft Outlook, importance=2.0999999999999996"
2,Mouse lock and button layer,1.0,0.0,alt+=,Key Press,Keyboard Equals and Plus,L Alt,AutoSum,"App: Microsoft Excel, importance=3.0"
2,Mouse lock and button layer,2.0,0.0,win+c,Key Press,Keyboard C,L GUI,Open Copilot,"App: Windows 11, importance=6.0"
2,Mouse lock and button layer,3.0,0.0,ctrl+shift+tab,Key Press,Keyboard Tab,L Ctrl+L Shift,Previous tab,"App: Browser (Chrome/Edge), importance=5.699999999999999"
2,Mouse lock and button layer,4.0,0.0,=,Key Press,Keyboard Equals and Plus,,Start formula,"App: Microsoft Excel, importance=5.0"
2,Mouse lock and button layer,5.0,0.0,alt+enter,Key Press,Keyboard Return Enter,L Alt,Properties / metadata card,"App: M-Files Desktop Client, importance=8.5"
2,Mouse lock and button layer,7.0,0.0,alt+shift+up,Key Press,Keyboard UpArrow,L Alt+L Shift,Previous unread,"App: Discord, importance=0.6000000000000001"
2,Mouse lock and button layer,8.0,0.0,win+1,Key Press,Keyboard 1 and Bang,L GUI,Open/switch pinned app 1,"App: Windows 11, importance=10.0"
2,Mouse lock and button layer,9.0,0.0,win+b,Key Press,Keyboard B,L GUI,Focus system tray,"App: Windows 11, importance=1.0"
2,Mouse lock and button layer,10.0,0.0,win+ctrl+d,Key Press,Keyboard D,L GUI+L Ctrl,New virtual desktop,"App: Windows 11, importance=3.0"
2,Mouse lock and button layer,11.0,0.0,ctrl+3,Key Press,Keyboard 3 and Hash,L Ctrl,Teams/channels,"App: Microsoft Teams, importance=6.0"
2,Mouse lock and button layer,12.0,0.0,ctrl+shift+g,Key Press,Keyboard G,L Ctrl+L Shift,Find previous,"App: Browser (Chrome/Edge), importance=0.95"
2,Mouse lock and button layer,0.0,1.0,ctrl+b,Key Press,Keyboard B,L Ctrl,Bold,"App: Microsoft Teams, importance=6.0"
2,Mouse lock and button layer,1.0,1.0,t,Key Press,Keyboard t,,Search open tabs,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
2,Mouse lock and button layer,2.0,1.0,alt+shift+-,Key Press,Keyboard Dash and Underscore,L Alt+L Shift,Split pane horizontal,"App: Windows Terminal / PowerShell, importance=1.2000000000000002"
2,Mouse lock and button layer,3.0,1.0,ctrl+down,Key Press,Keyboard DownArrow,L Ctrl,Jump to bottom edge of data,"App: Microsoft Excel, importance=3.0"
2,Mouse lock and button layer,4.0,1.0,shift+alt+left,Key Press,Keyboard LeftArrow,L Shift+L Alt,Shrink selection,"App: Visual Studio Code, importance=2.7"
2,Mouse lock and button layer,5.0,1.0,/,Key Press,Keyboard ForwardSlash and QuestionMark,,Enter find mode,"App: Browser (Chrome/Edge), importance=5.699999999999999"
2,Mouse lock and button layer,7.0,1.0,w,Key Press,Keyboard W,,White screen,"App: Microsoft PowerPoint, importance=0.2"
2,Mouse lock and button layer,8.0,1.0,x,Key Press,Keyboard X,,Restore closed tab,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
2,Mouse lock and button layer,9.0,1.0,win+e,Key Press,Keyboard E,L GUI,File Explorer,"App: Windows 11, importance=6.0"
2,Mouse lock and button layer,10.0,1.0,shift+f8,Key Press,Keyboard F8,L Shift,Go to previous problem,"App: Visual Studio Code, importance=0.9"
2,Mouse lock and button layer,11.0,1.0,ctrl+shift+~,Key Press,Keyboard Grave Accent and Tilde,L Ctrl+L Shift,General format,"App: Microsoft Excel, importance=0.5"
2,Mouse lock and button layer,12.0,1.0,alt+shift,Key Press,Keyboard Shift,L Alt,Switch keyboard layout (alt),"App: Windows 11, importance=3.0"
2,Mouse lock and button layer,0.0,2.0,o,Key Press,Keyboard o,,Open URL/bookmark/history,"App: Browser (Chrome/Edge), importance=5.699999999999999"
2,Mouse lock and button layer,1.0,2.0,b,Key Press,Keyboard B,,Black screen,"App: Microsoft PowerPoint, importance=0.6000000000000001"
2,Mouse lock and button layer,2.0,2.0,alt+shift++,Key Press,Keyboard Equals and Plus,L Alt+L Shift,Split pane vertical,"App: Windows Terminal / PowerShell, importance=1.2000000000000002"
2,Mouse lock and button layer,3.0,2.0,ctrl+i,Key Press,Keyboard I,L Ctrl,Italic,"App: Microsoft Teams, importance=3.0"
2,Mouse lock and button layer,4.0,2.0,ctrl+],Key Press,Keyboard Right Brace,L Ctrl,Indent line,"App: Visual Studio Code, importance=2.7"
2,Mouse lock and button layer,5.0,2.0,shift+alt+down,Key Press,Keyboard DownArrow,L Shift+L Alt,Copy line down,"App: Visual Studio Code, importance=5.4"
2,Mouse lock and button layer,7.0,2.0,ctrl+n,Key Press,Keyboard N,L Ctrl,New chat,"App: Microsoft Teams, importance=6.0"
2,Mouse lock and button layer,8.0,2.0,ctrl+shift+z,Key Press,Keyboard Z,L Ctrl+L Shift,Redo,"App: Visual Studio Code, importance=5.4"
2,Mouse lock and button layer,9.0,2.0,win+r,Key Press,Keyboard R,L GUI,Run dialog,"App: Windows 11, importance=3.0"
2,Mouse lock and button layer,10.0,2.0,shift+delete,Key Press,Keyboard Delete,L Shift,Permanent delete,"App: File Explorer, importance=0.45"
2,Mouse lock and button layer,11.0,2.0,alt+up,Key Press,Keyboard UpArrow,L Alt,Move line up,"App: Visual Studio Code, importance=5.4"
2,Mouse lock and button layer,12.0,2.0,ctrl+f5,Key Press,Keyboard F5,L Ctrl,Hard refresh (bypass cache),"App: Browser (Chrome/Edge), importance=2.8499999999999996"
2,Mouse lock and button layer,0.0,3.0,win+v,Key Press,Keyboard V,L GUI,Clipboard history,"App: Windows 11, importance=6.0"
2,Mouse lock and button layer,1.0,3.0,win+;,Key Press,Keyboard SemiColon and Colon,L GUI,Emoji picker,"App: Windows 11, importance=3.0"
2,Mouse lock and button layer,2.0,3.0,win+ctrl+f4,Key Press,Keyboard F4,L GUI+L Ctrl,Close current desktop,"App: Windows 11, importance=1.0"
2,Mouse lock and button layer,3.0,3.0,ctrl+/,Key Press,Keyboard ForwardSlash and QuestionMark,L Ctrl,Show keyboard shortcuts,"App: Microsoft Teams, importance=0.2"
2,Mouse lock and button layer,4.0,3.0,ctrl+k ctrl+f,Key Press,Keyboard F,L Ctrl,Format selection,"App: Visual Studio Code, importance=2.7"
2,Mouse lock and button layer,5.0,3.0,ctrl+end,Key Press,Keyboard End,L Ctrl,Go to last used cell,"App: Microsoft Excel, importance=3.0"
2,Mouse lock and button layer,7.0,3.0,ctrl+k ctrl+s,Key Press,Keyboard S,L Ctrl,Keyboard shortcuts,"App: Visual Studio Code, importance=0.18000000000000002"
2,Mouse lock and button layer,8.0,3.0,ctrl+alt+up,Key Press,Keyboard UpArrow,L Ctrl+L Alt,Add cursor above,"App: Visual Studio Code, importance=5.4"
2,Mouse lock and button layer,9.0,3.0,ctrl+x,Key Press,Keyboard X,L Ctrl,Cut,"App: Windows 11, importance=6.0"
2,Mouse lock and button layer,10.0,3.0,ctrl+shift+f6,Key Press,Keyboard F6,L Ctrl+L Shift,Next section,"App: Microsoft Teams, importance=3.0"
2,Mouse lock and button layer,11.0,3.0,alt+f4,Key Press,Keyboard F4,L Alt,Close window,"App: Windows 11, importance=6.0"
2,Mouse lock and button layer,12.0,3.0,shift+f3,Key Press,Keyboard F3,L Shift,Find previous,"App: Visual Studio Code, importance=2.7"
2,Mouse lock and button layer,3.0,4.0,down,Key Press,Keyboard DownArrow,,Next command,"App: Windows Terminal / PowerShell, importance=2.4000000000000004"
2,Mouse lock and button layer,4.0,4.0,win+ctrl+left,Key Press,Keyboard LeftArrow,L GUI+L Ctrl,Switch desktop left,"App: Windows 11, importance=3.0"
2,Mouse lock and button layer,5.0,4.0,ctrl+click,Key Press,Keyboard Click,L Ctrl,Select non-adjacent cells,"App: Microsoft Excel, importance=1.5"
2,Mouse lock and button layer,7.0,4.0,ctrl+[,Key Press,Keyboard Left Brace,L Ctrl,Outdent line,"App: Visual Studio Code, importance=2.7"
2,Mouse lock and button layer,8.0,4.0,ctrl+shift+t,Key Press,Keyboard T,L Ctrl+L Shift,Reopen closed tab,"App: Browser (Chrome/Edge), importance=5.699999999999999"
2,Mouse lock and button layer,4.0,5.0,backspace,Key Press,Keyboard Delete,,Go back / up,"App: M-Files Desktop Client, importance=5.1"
2,Mouse lock and button layer,5.0,5.0,ctrl+t,Key Press,Keyboard T,L Ctrl,New tab,"App: Browser (Chrome/Edge), importance=9.5"
2,Mouse lock and button layer,7.0,5.0,ctrl+shift+s,Key Press,Keyboard S,L Ctrl+L Shift,Attach file,"App: Microsoft Teams, importance=3.0"
3,"Window, app, language, mouse/game/travel control",0.0,0.0,ctrl+shift+$,Key Press,Keyboard 4 and Dollar,L Ctrl+L Shift,Currency format,"App: Microsoft Excel, importance=1.5"
3,"Window, app, language, mouse/game/travel control",1.0,0.0,gg,Key Press,Keyboard gg,,Scroll to top,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
3,"Window, app, language, mouse/game/travel control",2.0,0.0,shift+f11,Key Press,Keyboard F11,L Shift,Step out,"App: Visual Studio Code, importance=5.4"
3,"Window, app, language, mouse/game/travel control",3.0,0.0,f7,Key Press,Keyboard F7,,Spell check,"App: Microsoft Word, importance=0.8999999999999999"
3,"Window, app, language, mouse/game/travel control",4.0,0.0,gi,Key Press,Keyboard gi,,Focus first input field,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
3,"Window, app, language, mouse/game/travel control",5.0,0.0,win+2,Key Press,Keyboard 2 and At,L GUI,Open/switch pinned app 2,"App: Windows 11, importance=6.0"
3,"Window, app, language, mouse/game/travel control",7.0,0.0,ctrl+shift+down,Key Press,Keyboard DownArrow,L Ctrl+L Shift,Select to bottom edge,"App: Microsoft Excel, importance=3.0"
3,"Window, app, language, mouse/game/travel control",8.0,0.0,alt+tab,Key Press,Keyboard Tab,L Alt,Switch apps,"App: Windows 11, importance=10.0"
3,"Window, app, language, mouse/game/travel control",9.0,0.0,win+m,Key Press,Keyboard M,L GUI,Minimize all windows,"App: Windows 11, importance=1.0"
3,"Window, app, language, mouse/game/travel control",10.0,0.0,ctrl+9,Key Press,Keyboard 9 and Left Bracket,L Ctrl,Last tab,"App: Browser (Chrome/Edge), importance=0.95"
3,"Window, app, language, mouse/game/travel control",11.0,0.0,ctrl+shift++,Key Press,Keyboard Equals and Plus,L Ctrl+L Shift,Insert cells/rows/columns,"App: Microsoft Excel, importance=3.0"
3,"Window, app, language, mouse/game/travel control",12,0,transparen,Transparent,,,Evolved (evo_best_gen150): Transparent/reserved: falls through to lower active layer or does nothing if no lower binding applies.,Intentionally leaves the underlying layer behavior available.
3,"Window, app, language, mouse/game/travel control",0.0,1.0,ctrl+alt+down,Key Press,Keyboard DownArrow,L Ctrl+L Alt,Add cursor below,"App: Visual Studio Code, importance=5.4"
3,"Window, app, language, mouse/game/travel control",1.0,1.0,ctrl++,Key Press,Keyboard Equals and Plus,L Ctrl,Zoom in,"App: Browser (Chrome/Edge), importance=2.8499999999999996"
3,"Window, app, language, mouse/game/travel control",2.0,1.0,ctrl+f,Key Press,Keyboard F,L Ctrl,Find in conversation,"App: Microsoft Teams, importance=6.0"
3,"Window, app, language, mouse/game/travel control",3.0,1.0,ctrl+.,Key Press,Keyboard Period and GreaterThan,L Ctrl,Show commands,"App: Microsoft Teams, importance=3.0"
3,"Window, app, language, mouse/game/travel control",4.0,1.0,ctrl+m,Key Press,Keyboard M,L Ctrl,Add to favorites,"App: M-Files Desktop Client, importance=2.55"
